,manufacturer,model,fuel,transmission,drive,type,size,cylinders
27,gmc,sierra 1500 crew cab slt,gas,other,rwd,pickup,full-size,8
28,chevrolet,silverado 1500,gas,other,rwd,pickup,full-size,8
29,chevrolet,silverado 1500 crew,gas,other,rwd,pickup,full-size,8
30,toyota,tundra double cab sr,gas,other,rwd,pickup,full-size,8
31,ford,f-150 xlt,gas,automatic,rwd,truck,full-size,6
32,gmc,sierra 2500 hd extended cab,gas,other,4wd,pickup,full-size,8
33,chevrolet,silverado 1500 double,gas,other,4wd,pickup,full-size,6
34,toyota,tacoma,gas,automatic,4wd,truck,full-size,6
35,chevrolet,colorado extended cab,gas,other,4wd,pickup,full-size,6
36,chevrolet,corvette grand sport,gas,other,rwd,other,full-size,8
37,jeep,cherokee,gas,automatic,4wd,pickup,full-size,6
38,jeep,wrangler unlimited sport,gas,other,4wd,other,full-size,6
39,chevrolet,silverado 1500 regular,gas,other,rwd,pickup,full-size,6
40,chevrolet,colorado crew cab z71,other,other,4wd,pickup,full-size,8
41,toyota,tacoma access cab pickup,other,other,rwd,pickup,full-size,8
42,chevrolet,camaro ss coupe 2d,gas,other,rwd,coupe,full-size,8
43,toyota,tundra crewmax sr5 pickup,other,other,rwd,pickup,full-size,8
44,ford,ranger supercrew xl pickup,other,other,rwd,pickup,full-size,8
45,nissan,frontier crew cab pro-4x,gas,other,4wd,pickup,full-size,6
46,jeep,compass,gas,automatic,rwd,SUV,full-size,8
47,ford,f150 super cab xl pickup 4d,gas,other,rwd,pickup,full-size,6
48,toyota,tacoma double cab sr5,other,other,rwd,pickup,full-size,8
49,jeep,wrangler sport suv 2d,gas,other,4wd,SUV,full-size,8
50,ford,f150 supercrew cab xlt,gas,other,rwd,pickup,full-size,6
51,ram,1500 regular cab tradesman,gas,other,rwd,pickup,full-size,8
52,mazda,mx-5 miata club,gas,other,rwd,other,full-size,8
53,ford,ranger supercab xl pickup,gas,other,rwd,pickup,full-size,8
54,cadillac,xt4 sport suv 4d,other,other,fwd,hatchback,full-size,8
55,ford,f250 super duty,diesel,automatic,4wd,pickup,full-size,8
